workerid,proliferate.condition,lamp_response,plant_response,post_test_response,post_test_trial,video_1,video_1_correct_answer,video_1_response,video_2,video_2_correct_answer,video_2_response,video_3,video_3_correct_answer,video_3_response,video_4,video_4_correct_answer,video_4_response,error
4939,condition 1,Harry,Benji,Michael,michael_correct,egg_ball,Emily,Emily,vase_bear,Sara,Sara,phone_duck,Taylor,Taylor,icecream_sunscreen,Mason,Mason,
4924,condition 1,Harry,Benji,Michael,michael_correct,icecream_sunscreen,Mason,Mason,vase_bear,Sara,Sara,egg_ball,Emily,Emily,phone_duck,Taylor,Taylor,
4929,condition 1,Harry,Benji,Vicky,vicky_correct,egg_ball,Andy,Andy,icecream_sunscreen,Olivia,Olivia,vase_bear,Leo,Leo,phone_duck,Zoey,Zoey,
4928,condition 1,Harry,Benji,Michael,michael_correct,phone_duck,Zoey,Zoey,vase_bear,Leo,Leo,egg_ball,Andy,Andy,icecream_sunscreen,Olivia,Olivia,
4922,condition 1,Harry,Harry,Vicky,vicky_correct,egg_ball,Andy,Andy,phone_duck,Zoey,Zoey,vase_bear,Leo,Leo,icecream_sunscreen,Olivia,Olivia,
4931,condition 1,Harry,Benji,Michael,michael_correct,vase_bear,Sara,Sara,egg_ball,Emily,Emily,icecream_sunscreen,Mason,Mason,phone_duck,Taylor,Taylor,
4945,condition 1,Harry,Benji,Vicky,michael_correct,icecream_sunscreen,Olivia,Olivia,egg_ball,Andy,Andy,phone_duck,Zoey,Zoey,vase_bear,Leo,Leo,
4944,condition 1,Harry,Benji,Vicky,vicky_correct,egg_ball,Andy,Andy,vase_bear,Leo,Leo,phone_duck,Zoey,Zoey,icecream_sunscreen,Olivia,Olivia,
4925,condition 1,Harry,Benji,Vicky,vicky_correct,egg_ball,Andy,Andy,icecream_sunscreen,Olivia,Olivia,vase_bear,Leo,Leo,phone_duck,Zoey,Zoey,
4937,condition 1,Harry,Benji,Vicky,vicky_correct,phone_duck,Zoey,Zoey,icecream_sunscreen,Olivia,Olivia,vase_bear,Leo,Leo,egg_ball,Andy,Andy,
4926,condition 1,Harry,Benji,Michael,michael_correct,phone_duck,Zoey,Zoey,icecream_sunscreen,Olivia,Olivia,vase_bear,Leo,Leo,egg_ball,Andy,Andy,
4920,condition 1,Harry,Benji,Michael,michael_correct,vase_bear,Sara,Sara,phone_duck,Taylor,Taylor,egg_ball,Emily,Emily,icecream_sunscreen,Mason,Mason,
4932,condition 1,Harry,Benji,Michael,michael_correct,vase_bear,Leo,Leo,icecream_sunscreen,Olivia,Olivia,egg_ball,Andy,Andy,phone_duck,Zoey,Zoey,
4936,condition 1,Harry,Benji,Michael,michael_correct,vase_bear,Leo,Leo,egg_ball,Andy,Andy,icecream_sunscreen,Olivia,Olivia,phone_duck,Zoey,Zoey,
4942,condition 1,Harry,Benji,Michael,michael_correct,phone_duck,Taylor,Taylor,vase_bear,Sara,Sara,icecream_sunscreen,Mason,Mason,egg_ball,Emily,Emily,
4918,condition 1,Harry,Benji,Michael,michael_correct,egg_ball,Andy,Andy,icecream_sunscreen,Olivia,Olivia,phone_duck,Zoey,Zoey,vase_bear,Leo,Leo,
4935,condition 1,Harry,Benji,Vicky,vicky_correct,icecream_sunscreen,Mason,Mason,egg_ball,Emily,Emily,phone_duck,Taylor,Taylor,vase_bear,Sara,Sara,
4941,condition 1,Harry,Benji,Vicky,vicky_correct,icecream_sunscreen,Mason,Mason,vase_bear,Sara,Sara,egg_ball,Emily,Emily,phone_duck,Taylor,Taylor,
4938,condition 1,Harry,Benji,Michael,michael_correct,icecream_sunscreen,Mason,Mason,egg_ball,Emily,Emily,vase_bear,Sara,Sara,phone_duck,Taylor,Taylor,
4930,condition 1,Harry,Benji,Vicky,vicky_correct,phone_duck,Zoey,Zoey,vase_bear,Leo,Leo,egg_ball,Andy,Andy,icecream_sunscreen,Olivia,Olivia,
4916,condition 1,Harry,Benji,Michael,michael_correct,vase_bear,Leo,Leo,icecream_sunscreen,Olivia,Olivia,phone_duck,Zoey,Zoey,egg_ball,Andy,Andy,
4921,condition 1,Harry,Benji,Vicky,vicky_correct,vase_bear,Leo,Leo,icecream_sunscreen,Olivia,Olivia,phone_duck,Zoey,Zoey,egg_ball,Andy,Andy,
4923,condition 1,Harry,Benji,Vicky,vicky_correct,vase_bear,Sara,Sara,icecream_sunscreen,Mason,Mason,phone_duck,Taylor,Taylor,egg_ball,Emily,Emily,
4914,condition 1,Harry,Benji,Michael,michael_correct,egg_ball,Andy,Andy,icecream_sunscreen,Olivia,Olivia,vase_bear,Leo,Leo,phone_duck,Zoey,Zoey,
4917,condition 1,Harry,Benji,Michael,michael_correct,phone_duck,Taylor,Taylor,egg_ball,Emily,Emily,icecream_sunscreen,Mason,Mason,vase_bear,Sara,Sara,
4934,condition 1,Harry,Benji,Vicky,vicky_correct,vase_bear,Sara,Sara,egg_ball,Emily,Emily,icecream_sunscreen,Mason,Mason,phone_duck,Taylor,Taylor,
4915,condition 1,Harry,Benji,Vicky,vicky_correct,vase_bear,Leo,Leo,phone_duck,Zoey,Zoey,icecream_sunscreen,Olivia,Olivia,egg_ball,Andy,Andy,
4943,condition 1,Harry,Benji,Michael,michael_correct,phone_duck,Taylor,Taylor,icecream_sunscreen,Mason,Mason,egg_ball,Emily,Emily,vase_bear,Sara,Sara,
4933,condition 1,Harry,Benji,Michael,michael_correct,egg_ball,Emily,Emily,vase_bear,Sara,Sara,icecream_sunscreen,Mason,Mason,phone_duck,Taylor,Taylor,
4940,condition 1,Harry,Benji,Michael,michael_correct,phone_duck,Taylor,Taylor,icecream_sunscreen,Mason,Mason,vase_bear,Sara,Sara,egg_ball,Emily,Emily,
