participant_number,test_date,child_id,response_id,response_uuid,age_range,rounded_age,age,gender,lan_spoken,by_plant,by_lamp,trial_1,trial_1_correct_answer,trial_1_response,trial_1_score,trial_2,trial_2_correct_answer,trial_2_response,trial_2_score,trial_3,trial_3_correct_answer,trial_3_response,trial_3_score,trial_4,trial_4_correct_answer,trial_4_response,trial_4_score,control_trial,control_trial_correct_answer,control_trial_response,control_trial_score,total_score,notes,exclude,exclude_reason,notes,include,race(will fill out later)
1,6/29/2023,Grannys_Gratitude_Stickers_20230629_4_Lookit_SZ,141943,5763bd5f-c675-4640-becc-c9b35f1636d6,1095-1460,1110,3.04,male,en,benji,harry,andy_correct_left_emily,andy,the basketball,0,olivia_correct_right_mason,olivia,ice cream,1,leo_correct_left_sara,leo,toy bear,0,zoey_correct_right_taylor,zoey,the ducky,0,michael_correct_left,michael,full of leaves,1,1,,,,,,
2,6/18/2023,Grannys_Gratitude_Stickers_20230618_1_Lookit_SZ,139911,b119bbdc-5ed5-4274-803b-d3e264d3792d,1095-1460,1290,3.53,female,en ,benji,harry,emily_correct_right_andy,emily,emily,1,mason_correct_left_olivia,mason,olivia,0,sara_correct_right_leo,sara,sara,1,taylor_correct_left_zoey,taylor,zoey,0,vicky_correct_left,vicky,vicky,1,2,,,,,,
3,6/18/2023,Grannys_Gratitude_Stickers_20230618_3_Lookit_SZ,139947,40d387ab-24a6-428d-9c23-48c4aa21635a,1095-1460,1350,3.70,female,en pes,benji,harry,emily_correct_right_andy,emily,emily,1,sara_correct_right_leo,sara,leo,0,taylor_correct_left_zoey,taylor,taylor,1,mason_correct_left_olivia,mason,mason,1,vicky_correct_left,vicky,vicky,1,3,,,,,,
4,6/19/2023,Grannys_Gratitude_Stickers_20230619_1_Lookit_SZ,140005,03fb8b59-a63e-42d2-bc16-ce410459e395,1095-1460,1350,3.70,male,en ,benji,harry,sara_correct_right_leo,sara,leo,0,taylor_correct_left_zoey,taylor,zoey,0,emily_correct_right_andy,emily,emily,1,mason_correct_left_olivia,mason,mason,1,vicky_correct_left,vicky,vicky,1,2,,,,,,
5,6/29/2023,Grannys_Gratitude_Stickers_20230629_6_Lookit_SZ,142023,b48d0e48-f5b4-45f3-900a-4b2adb882570,1095-1460,1410,3.86,female,en,benji,harry,taylor_correct_right_zoey,taylor,taylor,1,mason_correct_right_olivia,mason,mason,1,sara_correct_left_leo,sara,sara,1,emily_correct_left_andy,emily,emily,1,vicky_correct_left,vicky,vicky,1,4,,,,,,
6,6/20/2023,Grannys_Gratitude_Stickers_20230620_5_Lookit_SZ,140286,0adc087d-7ac9-44fb-be05-ce11e7dfa4bd,1095-1460,1350,3.70,male,en ,benji,harry,leo_correct_left_sara,leo,leo,1,zoey_correct_right_taylor,zoey,zoey,1,olivia_correct_right_mason,olivia,olivia,1,andy_correct_left_emily,andy,emily,0,vicky_correct_left,vicky,vicky,1,3,,,,,,
7,6/20/2023,Grannys_Gratitude_Stickers_20230620_6_Lookit_SZ,140314,05978614-779f-4b98-bb73-706e3a3d4311,1095-1460,1320,3.62,male,en ,benji,harry,andy_correct_left_emily,andy,emily,0,zoey_correct_right_taylor,zoey,taylor,0,olivia_correct_right_mason,olivia,olivia,1,leo_correct_left_sara,leo,leo,1,vicky_correct_left,vicky,michael who swept a lot of leaves,1,2,The kid got confused with the names in the control trial.,,,,,
8,6/29/2023,Grannys_Gratitude_Stickers_20230629_7_Lookit_SZ,142053,fc7e0b93-412c-4213-86b7-5b638e51e740,1095-1460,1350,3.70,female,en,benji,harry,leo_correct_right_sara,leo,the one who caught the glass vase,1,olivia_correct_left_mason,olivia,mason ,0,andy_correct_right_emily,andy,andy,1,zoey_correct_left_taylor,zoey,phone,1,michael_correct_left,michael,big pile of leaves,1,3,,,,,,
9,6/20/2023,Grannys_Gratitude_Stickers_20230620_8_Lookit_SZ,140345,e2b2369b-0ce6-4962-8e61-8d8afe2bdb83,1095-1460,1230,3.37,female,en,benji,harry,emily_correct_left_andy,emily,egg,1,taylor_correct_right_zoey,taylor,phone,1,sara_correct_left_leo,sara,bear,0,mason_correct_right_olivia,mason,sunscreen,0,michael_correct_left,michael,a lot of leaves,1,2,,,,,,
10,6/20/2023,Grannys_Gratitude_Stickers_20230620_9_Lookit_SZ,140369,688867b3-c7a0-476b-a254-d762e5ddb6ca,1095-1460,1380,3.78,male,en,benji,harry,andy_correct_left_emily,andy,emily,0,olivia_correct_right_mason,olivia,olivia,1,leo_correct_left_sara,leo,leo,1,zoey_correct_right_taylor,zoey,zoey,1,michael_correct_left,michael,michael,1,3,,,,,,
11,6/21/2023,Grannys_Gratitude_Stickers_20230621_1_Lookit_SZ,140391,38d275fc-46df-47a6-b53b-01b19ae30719,1095-1460,1260,3.45,female,en so,benji,harry,andy_correct_left_emily,andy,emily,0,leo_correct_left_sara,leo,sara,0,olivia_correct_right_mason,olivia,olivia,1,zoey_correct_right_taylor,zoey,zoey,1,michael_correct_left,michael,vicky,0,2,"Kid first said, ""a lot of leaves"", then the parent asked, ""so should she give the sticker to Michael who swept a lot or Vicky who swept a little?"", the kid changed mind.",,,,,
12,6/22/2023,Grannys_Gratitude_Stickers_20230622_1_Lookit_SZ,140628,e0261bc1-2bbe-4d86-ae42-8d66416db6fc,1095-1460,1440,3.95,male,en,benji,harry,sara_correct_right_leo,sara,sara,1,taylor_correct_left_zoey,taylor,phone,1,emily_correct_right_andy,emily,the egg,1,mason_correct_left_olivia,mason,mason,1,michael_correct_left,michael,vicky,0,4,,,,,,
13,6/22/2023,Grannys_Gratitude_Stickers_20230622_3_Lookit_SZ,140706,6862abc4-cc91-4c84-8349-f9f844601945,1095-1460,1200,3.29,female,en es,benji,harry,olivia_correct_right_mason,olivia,olivia,1,zoey_correct_right_taylor,zoey,zoey,1,andy_correct_left_emily,andy,andy,1,leo_correct_left_sara,leo,sara,0,vicky_correct_left,vicky,vicky,1,3,,,,,,
14,6/22/2023,Grannys_Gratitude_Stickers_20230622_4_Lookit_SZ,140848,15376a79-6698-4d62-945f-ea56d736479f,1095-1460,1230,3.37,female,en yue,benji,harry,andy_correct_left_emily,andy,emily,0,zoey_correct_right_taylor,zoey,taylor,0,olivia_correct_right_mason,olivia,olivia,1,leo_correct_left_sara,leo,leo,1,vicky_correct_left,vicky,vicky,1,2,"Parent rephrased: ""Who should get the sticker? Who did a great job?""",,,,,
15,6/22/2023,Grannys_Gratitude_Stickers_20230622_5_Lookit_SZ,140869,833a3c3b-5dea-424f-9037-d2dde7023281,1095-1460,1170,3.21,male,en,benji,harry,mason_correct_right_olivia,mason,ice cream,1,emily_correct_left_andy,emily,egg,1,taylor_correct_right_zoey,taylor,taylor,1,sara_correct_left_leo,sara,the toy bear,0,michael_correct_left,michael,that one,0,3,not sure which character the kid pointed to in the control trial,,,,,
16,6/23/2023,Grannys_Gratitude_Stickers_20230623_2_Lookit_SZ,141054,d5843c85-e7b9-4200-a6ee-32ac4a3805bf,1095-1460,1200,3.29,male,en,benji,harry,taylor_correct_left_zoey,taylor,zoey,0,mason_correct_left_olivia,mason,olivia,0,sara_correct_right_leo,sara,sara,1,emily_correct_right_andy,emily,emily,1,michael_correct_left,michael,vicky,0,2,,,,,,
17,6/24/2023,Grannys_Gratitude_Stickers_20230624_1_Lookit_SZ,141117,43577147-97f9-483d-be0a-0848d1cc70e0,1095-1460,1140,3.12,female,en,benji,harry,andy_correct_left_emily,andy,the egg,1,zoey_correct_right_taylor,zoey,the ducky,0,leo_correct_left_sara,leo,the toy bear,0,olivia_correct_right_mason,olivia,the ice cream,1,michael_correct_left,michael,michael,1,2,,,,,,
18,6/30/2023,Grannys_Gratitude_Stickers_20230630_1_Lookit_SZ,142121,bde406ac-4106-4a0c-a8dc-a80c771004fd,1095-1460,1410,3.86,female,en,benji,harry,andy_correct_right_emily,andy,andy,1,leo_correct_right_sara,leo,sara,0,olivia_correct_left_mason,olivia,olivia,1,zoey_correct_left_taylor,zoey,taylor,0,michael_correct_left,michael,michael,1,2,,,,,,
19,6/25/2023,Grannys_Gratitude_Stickers_20230625_3_Lookit_SZ,141192,48f584ad-fd84-4e47-837f-0a00c4c75e5f,1095-1460,1200,3.29,male,en yue,benji,harry,zoey_correct_right_taylor,zoey,zoey,1,olivia_correct_right_mason,olivia,sunscreen,0,andy_correct_left_emily,andy,egg,1,leo_correct_left_sara,leo,toy bear,0,michael_correct_left,michael,vicky,0,2,,,,,,
20,6/26/2023,Grannys_Gratitude_Stickers_20230626_2_Lookit_SZ,141420,3301273e-2436-4f60-a6e3-5fa33e3e497f,1095-1460,1410,3.86,female,en nl wuu,benji,harry,mason_correct_left_olivia,mason,ice cream,1,taylor_correct_left_zoey,taylor,zoey,0,sara_correct_right_leo,sara,sara,1,emily_correct_right_andy,emily,andy,0,michael_correct_left,michael,vicky,0,2,,,,,,
21,7/1/2023,Grannys_Gratitude_Stickers_20230701_1_Lookit_SZ,142250,dba02559-d3e3-4c90-a9f8-1f70e2aa9f42,1095-1460,1290,3.53,male,en,benji,harry,olivia_correct_right_mason,olivia,olivia,1,zoey_correct_right_taylor,zoey,zoey,1,leo_correct_left_sara,leo,leo,1,andy_correct_left_emily,andy,emily,0,michael_correct_left,michael,michael,1,3,,,,,,
22,6/26/2023,Grannys_Gratitude_Stickers_20230626_4_Lookit_SZ,141441,949e25da-3146-43e0-a2df-69acad061985,1095-1460,1380,3.78,female,en,benji,harry,zoey_correct_right_taylor,zoey,zoey,1,leo_correct_left_sara,leo,sara,0,olivia_correct_right_mason,olivia,olivia,1,andy_correct_left_emily,andy,emily,0,michael_correct_left,michael,michael,1,2,,,,,,
23,6/27/2023,Grannys_Gratitude_Stickers_20230627_2_Lookit_SZ,141518,dfd3b193-2304-4306-808d-4b98ec2c92fe,1095-1460,1140,3.12,male,en pes ml,benji,harry,mason_correct_left_olivia,mason,ice cream,1,emily_correct_right_andy,emily,basketball,0,sara_correct_right_leo,sara,glass vase,1,taylor_correct_left_zoey,taylor,phone,1,vicky_correct_left,vicky,a full of leaves,1,3,,,,,,
24,6/27/2023,Grannys_Gratitude_Stickers_20230627_3_Lookit_SZ,141604,fc408977-ded9-4538-80e5-6863d15bb7ac,1095-1460,1410,3.86,female,en,benji,harry,zoey_correct_left_taylor,zoey,zoey,1,leo_correct_right_sara,leo,sara,0,olivia_correct_left_mason,olivia,olivia,1,andy_correct_right_emily,andy,emily,0,vicky_correct_left,vicky,vicky,1,2,,,,,,
25,7/3/2023,Grannys_Gratitude_Stickers_20230703_5_Lookit_SZ,142453,c289ba96-14d9-4555-95ae-2c006cbbc760,1095-1460,1110,3.04,male,en,benji,harry,andy_correct_right_emily,andy,andy,1,leo_correct_right_sara,leo,leo,1,zoey_correct_left_taylor,zoey,taylor,0,olivia_correct_left_mason,olivia,mason,0,michael_correct_left,michael,michael,1,2,,,,,,
26,7/3/2023,Grannys_Gratitude_Stickers_20230703_7_Lookit_SZ,142538,3ca70aac-2506-4268-9830-f2afeaeafc54,1095-1460,1320,3.62,male,en es,benji,harry,zoey_correct_left_taylor,zoey,taylor,0,leo_correct_right_sara,leo,sara,0,andy_correct_right_emily,andy,andy,1,olivia_correct_left_mason,olivia,mason,0,michael_correct_left,michael,michael,1,1,,,,,,
27,7/4/2023,Grannys_Gratitude_Stickers_20230704_3_Lookit_SZ,142603,73be3134-4731-4e32-a681-31a2d7947afb,1095-1460,1320,3.62,male,en,benji,harry,taylor_correct_left_zoey,taylor,taylor,1,mason_correct_left_olivia,mason,olivia,0,emily_correct_right_andy,emily,emily,1,sara_correct_right_leo,sara,sara,1,vicky_correct_left,vicky,a little bit leaves,0,3,,,,,,
28,7/4/2023,Grannys_Gratitude_Stickers_20230704_4_Lookit_SZ,142609,2dff1fae-5a88-4ef7-b679-79236f36dcc2,1095-1460,1410,3.86,male,en,benji,harry,mason_correct_right_olivia,mason,olivia ,0,emily_correct_left_andy,emily,andy,0,taylor_correct_right_zoey,taylor,taylor,1,sara_correct_left_leo,sara,sara,1,vicky_correct_left,vicky,vicky,1,2,,,,,,
29,6/29/2023,Grannys_Gratitude_Stickers_20230629_1_Lookit_SZ,141879,f9339e0b-1343-40b7-9b94-1b32f1150aa6,1095-1460,1200,3.29,female,en,benji,harry,andy_correct_left_emily,andy,basketball,0,zoey_correct_right_taylor,zoey,zoey,1,olivia_correct_right_mason,olivia,olivia,1,leo_correct_left_sara,leo,sara,0,vicky_correct_left,vicky,vicky,1,2,,,,,,
