workerid,proliferate.condition,lamp_response,plant_response,video_1,video_1_correct_answer,video_1_response,video_2,video_2_correct_answer,video_2_response,video_3,video_3_correct_answer,video_3_response,video_4,video_4_correct_answer,video_4_response,video_5,video_5_correct_answer,video_5_response,video_6,video_6_correct_answer,video_6_response,error
276,exp4,Harry,Benji,bear,Connor,Connor,lightbulb,Jessie,Caleb,glass,Lucas,Emily,basketball,Charlie,Charlie,apple,Alex,Alex,rock,Amber,Amber,
289,exp4,Harry,Harry,rock,Amber,Billy,basketball,Noah,Noah,bear,Connor,Connor,glass,Lucas,Lucas,lightbulb,Caleb,Caleb,apple,Alex,Alex,
281,exp4,Harry,Benji,bear,Connor,Connor,glass,Lucas,Lucas,rock,Billy,Billy,basketball,Noah,Noah,lightbulb,Caleb,Caleb,apple,Lily,Lily,
284,exp4,Harry,Benji,lightbulb,Caleb,Caleb,glass,Lucas,Lucas,basketball,Noah,Noah,rock,Amber,Amber,bear,Vicky,Vicky,apple,Lily,Lily,
280,exp4,Harry,Benji,rock,Amber,Amber,bear,Connor,Connor,glass,Lucas,Lucas,apple,Lily,Lily,basketball,Charlie,Charlie,lightbulb,Jessie,Jessie,
298,exp4,Harry,Benji,apple,Alex,Alex,bear,Connor,Connor,basketball,Noah,Noah,glass,Emily,Emily,rock,Billy,Billy,lightbulb,Caleb,Caleb,
302,exp4,Harry,Benji,basketball,Noah,Noah,glass,Emily,Lucas,bear,Connor,Connor,apple,Alex,Alex,rock,Amber,Amber,lightbulb,Caleb,Caleb,
308,exp4,Harry,Benji,lightbulb,Jessie,Jessie,basketball,Noah,Noah,bear,Connor,Connor,glass,Emily,Emily,apple,Lily,Lily,rock,Billy,Billy,
288,exp4,Harry,Benji,rock,Billy,Billy,basketball,Noah,Noah,apple,Alex,Alex,glass,Emily,Emily,lightbulb,Caleb,Caleb,bear,Connor,Connor,
294,exp4,Harry,Benji,basketball,Noah,Noah,lightbulb,Jessie,Jessie,rock,Billy,Billy,bear,Connor,Connor,apple,Lily,Alex,glass,Lucas,Lucas,
296,exp4,Harry,Benji,apple,Alex,Alex,basketball,Charlie,Charlie,bear,Connor,Connor,lightbulb,Caleb,Caleb,rock,Amber,Amber,glass,Emily,Emily,
306,exp4,Harry,Benji,rock,Billy,Billy,apple,Alex,Alex,glass,Emily,Emily,lightbulb,Jessie,Jessie,basketball,Charlie,Charlie,bear,Vicky,Vicky,
279,exp4,Harry,Benji,rock,Billy,Billy,glass,Lucas,Emily,bear,Vicky,Vicky,apple,Alex,Alex,basketball,Charlie,Charlie,lightbulb,Caleb,Jessie,
