"gender","age","race","ethnicity","feedback","plant_response","lamp_response","video_1","video_1_correct_answer","video_1_response","video_2","video_2_correct_answer","video_2_response","video_3","video_3_correct_answer","video_3_response","video_4","video_4_correct_answer","video_4_response","video_5","video_5_correct_answer","video_5_response","video_6","video_6_correct_answer","video_6_response"
"Female",24,"White","Non-Hispanic","I was more likely thank the person that caught the item that would cause more damage if not caught","Benji","Harry","apple","Lily","Lily","basketball","Charlie","Charlie","bear","Vicky","Vicky","glass","Emily","Emily","rock","Amber","Amber","lightbulb","Caleb","Caleb"
"Female",28,"White","Non-Hispanic","if they saved it from something bad happening","Benji","Benji","lightbulb","Caleb","Caleb","apple","Alex","Alex","basketball","Charlie","Charlie","bear","Vicky","Vicky","rock","Billy","Billy","glass","Lucas","Emily"
"Male",45,"White","Non-Hispanic","The factors that influenced my decision included each friend's level of support, and presence during Granny's time of need, ultimately leading me to select the friend who demonstrated the most consistent care and assistance.","Benji","Harry","apple","Lily","Alex","glass","Lucas","Emily","basketball","Noah","Charlie","lightbulb","Jessie","Caleb","bear","Vicky","Vicky","rock","Amber","Amber"
"Non-binary",34,"White","Non-Hispanic","I understood the subtext, but the apple one kind of threw me. If the apple fell in the trash, you could still wash it off and eat it. But if it fell on the floor it could bruise and you'd have to cut some of it off and throw it away. Maybe i'm just thinking too hard.","Benji","Harry","glass","Lucas","Lucas","lightbulb","Jessie","Jessie","basketball","Charlie","Charlie","apple","Lily","Alex","bear","Vicky","Vicky","rock","Amber","Amber"
"Female",32,"Black/African American","Non-Hispanic","The factors that contributed was whether whatever dropped would be able to land safely on something or if whatever dropped would be able to cause further issues if it landed on/end something.","Benji","Harry","glass","Emily","Emily","lightbulb","Jessie","Jessie","bear","Connor","Connor","basketball","Charlie","Charlie","apple","Alex","Alex","rock","Amber","Amber"
"Female",32,"White","Non-Hispanic","if the item was going to break or get more dirty I gave the person that caught the item the sticker","Benji","Harry","apple","Lily","Alex","basketball","Charlie","Charlie","rock","Billy","Billy","bear","Vicky","Vicky","glass","Emily","Emily","lightbulb","Caleb","Caleb"
"Female",58,"White","Non-Hispanic","The risk of breaking the item or making it dirty or breaking something the item might fall onto is what influenced my response. ","Benji","Harry","bear","Vicky","Vicky","glass","Lucas","Lucas","apple","Lily","Lily","rock","Billy","Billy","lightbulb","Jessie","Jessie","basketball","Noah","Noah"
"Female",40,"White","Non-Hispanic","I picked the person who helped avoid a bigger issue.","Benji","Benji","bear","Vicky","Vicky","glass","Emily","Emily","apple","Lily","Lily","basketball","Charlie","Charlie","lightbulb","Jessie","Caleb","rock","Billy","Billy"
"Female",57,"White","Non-Hispanic","what the items would land on","Benji","Harry","apple","Alex","Alex","bear","Connor","Connor","rock","Billy","Billy","glass","Lucas","Lucas","lightbulb","Caleb","Caleb","basketball","Noah","Noah"
"Female",43,"White","Non-Hispanic","I gave the thank you stickers to the person who caught the item that would cause the least amount of damage.","Benji","Harry","bear","Connor","Connor","basketball","Charlie","Charlie","glass","Emily","Emily","rock","Billy","Billy","apple","Lily","Lily","lightbulb","Caleb","Caleb"
"Male",36,"White","Non-Hispanic",NA,"Benji","Harry","rock","Amber","Amber","basketball","Noah","Noah","apple","Alex","Lily","bear","Vicky","Connor","glass","Lucas","Lucas","lightbulb","Jessie","Caleb"
"Female",29,"White","Non-Hispanic","Nope.","Benji","Harry","rock","Amber","Amber","basketball","Noah","Noah","glass","Emily","Emily","apple","Lily","Lily","lightbulb","Caleb","Jessie","bear","Vicky","Vicky"
"Female",37,"White","Non-Hispanic","What what happen to the item if it dropped, would it crack or get dirty","Benji","Harry","basketball","Noah","Noah","rock","Amber","Amber","lightbulb","Jessie","Jessie","bear","Vicky","Vicky","glass","Emily","Emily","apple","Alex","Alex"
"Male",38,"White","Non-Hispanic","Whoever prevented the biggest mess","Benji","Harry","basketball","Noah","Noah","bear","Vicky","Vicky","rock","Billy","Billy","apple","Lily","Lily","glass","Emily","Emily","lightbulb","Caleb","Caleb"
"Female",23,"other_race","Non-Hispanic","the potential damage done to the item to things underneath the item had it been dropped. ","Benji","Harry","rock","Billy","Billy","basketball","Noah","Noah","bear","Connor","Connor","glass","Lucas","Lucas","lightbulb","Jessie","Jessie","apple","Alex","Alex"
"Male",22,"White","Non-Hispanic","I looked at what item it is and what it was falling on.","Benji","Harry","apple","Alex","Alex","bear","Connor","Connor","rock","Billy","Billy","glass","Emily","Emily","lightbulb","Caleb","Caleb","basketball","Charlie","Charlie"
