participant_number,test_date,child_id,response_id,response_uuid,age_range,rounded_age,age,gender,lan_spoken,by_plant,by_lamp,trial_1,trial_1_correct_answer,trial_1_response,trial_1_score,trial_2,trial_2_correct_answer,trial_2_response,trial_2_score,trial_3,trial_3_correct_answer,trial_3_response,trial_3_score,trial_4,trial_4_correct_answer,trial_4_response,trial_4_score,trial_5,trial_5_correct_answer,trial_5_response,trial_5_score,trial_6,trial_6_correct_answer,trial_6_response,trial_6_score,total_score,notes,exclude,exclude_reason,notes
1,4/11/2024,Grannys_Gratitude_Stickers_20240411_9,208265,ecffe487-557d-42a1-a9c9-7e1b6930d69e,1095-1460,1290,3.53,female,en,benji,harry,exp7_rock_wine_correct_right_billy,billy,amber,0,exp7_apple_trashcan_correct_left_lily,lily,alex,0,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_bulb_laundry_correct_left_jessie,jessie,caleb,0,exp7_bear_water_correct_left_vicky,vicky,connor,0,exp7_basketball_egg_correct_right_noah,noah,noah,1,2,,,,
2,4/12/2024,Grannys_Gratitude_Stickers_20240412_10,208596,cbcbc9b2-c01b-4ba8-96ac-f206a892c3d9,1095-1460,1320,3.62,male,en,benji,harry,exp7_apple_trashcan_correct_left_lily,lily,lily,1,exp7_basketball_egg_correct_right_noah,noah,noah,1,exp7_bear_water_correct_right_connor,connor,vicky,0,exp7_rock_wine_correct_right_billy,billy,amber,0,exp7_bulb_laundry_correct_left_jessie,jessie,caleb,0,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,3,,,,
3,4/13/2024,Grannys_Gratitude_Stickers_20240413_11,208767,2fbc25ef-9806-47fc-936a-3bfac3a2bf59,1095-1460,1440,3.95,male,en so,benji,harry,exp7_bulb_laundry_correct_left_jessie,jessie,caleb,0,exp7_rock_wine_correct_right_billy,billy,billy,1,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_bear_water_correct_left_vicky,vicky,connor,0,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,exp7_basketball_egg_correct_right_noah,noah,noah,1,3,,,,
4,4/13/2024,Grannys_Gratitude_Stickers_20240413_16,208809,e9f06f94-53fe-4ebe-82e1-eadfd0f623ea,1095-1460,1320,3.62,female,en,benji,harry,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_bear_water_correct_left_vicky,vicky,connor,0,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_rock_wine_correct_right_billy,billy,amber,0,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,4,,,,
5,4/13/2024,Grannys_Gratitude_Stickers_20240413_25,208879,20d55506-7ded-4619-97db-4f6aabadd15f,1095-1460,1320,3.62,male,en so,benji,harry,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_rock_wine_correct_left_amber,amber,billy,0,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_bulb_laundry_correct_left_jessie,jessie,caleb,0,2,,,,
6,4/14/2024,Grannys_Gratitude_Stickers_20240414_3,209043,b0434460-5e72-415d-91cc-bf4bf955814d,1095-1460,1320,3.62,male,en,benji,harry,exp7_basketball_egg_correct_right_noah,noah,noah,1,exp7_apple_trashcan_correct_left_lily,lily,lily,1,exp7_rock_wine_correct_right_billy,billy,billy,1,exp7_bear_water_correct_right_connor,connor,connor,1,exp7_bulb_laundry_correct_left_jessie,jessie,jessie,1,exp7_glass_beanbag_correct_left_emily,emily,emily,1,6,,,,
7,4/15/2024,Grannys_Gratitude_Stickers_20240415_5,209329,4991bc34-efa0-4afe-be9c-9c663005a3ca,1095-1460,1230,3.37,female,en,benji,harry,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_glass_beanbag_correct_right_lucas,lucas,emily,0,exp7_rock_wine_correct_right_billy,billy,amber,0,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_bulb_laundry_correct_right_caleb,caleb,jessie,0,exp7_basketball_egg_correct_right_noah,noah,charlie,0,2,,,,
8,4/16/2024,Grannys_Gratitude_Stickers_20240416_7,209786,d9c27839-27df-4d44-b823-79142dd00b1c,1095-1460,1230,3.37,female,en,benji,harry,exp7_bulb_laundry_correct_right_caleb,caleb,caleb,1,exp7_glass_beanbag_correct_right_lucas,lucas,lucas,1,exp7_basketball_egg_correct_right_noah,noah,noah,1,exp7_rock_wine_correct_right_billy,billy,billy,1,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_bear_water_correct_left_vicky,vicky,connor,0,5,,,,
9,4/17/2024,Grannys_Gratitude_Stickers_20240417_6,209965,1878f2c4-43a7-445c-868d-63b97cdbd947,1095-1460,1350,3.70,female,en,benji,harry,exp7_rock_wine_correct_right_billy,billy,amber,0,exp7_bulb_laundry_correct_right_caleb,caleb,jesse,0,exp7_bear_water_correct_left_vicky,vicky,vicky,1,exp7_basketball_egg_correct_left_charlie,charlie,noah,0,exp7_apple_trashcan_correct_left_lily,lily,alex,0,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,1,,,,
10,4/17/2024,Grannys_Gratitude_Stickers_20240417_7,209969,53c9e70d-0794-43ae-9362-650f2329ac7b,1095-1460,1440,3.95,female,en,benji,harry,exp7_rock_wine_correct_right_billy,billy,emily,0,exp7_bear_water_correct_right_connor,connor,vicky,0,exp7_glass_beanbag_correct_left_emily,emily,lucas,0,exp7_bulb_laundry_correct_left_jessie,jessie,caleb,0,exp7_apple_trashcan_correct_right_alex,alex,alex,1,exp7_basketball_egg_correct_left_charlie,charlie,charlie,1,2,,,,
